अंगत: निजी
अंगे: उस_विषय_में
अंगेना: विषय_के
अंते: अंत_में
अंदाजे: अनुमान_से
अंधाधूंधी: अराजकता
अंधापो: अंधापन
अंधारीयुं: कृष्णपक्ष
अंधारुं: अंधेरा
अंबोडो: चोटी
अंशे: अंश_का
अकडावुं: क्रोधित_होना
अकळामण: विकलता
अकळावुं: क्रोधित_होना
अकसीर: प्रभावी
अकस्मात: दुर्घटना
अकस्माते: दुर्घटना_बस
अक्करमी: दुर्भाग्यपूर्ण
अखतरो: परीक्षण
अखाडो: व्यायामशाला
अखात: खाड़ी
अगणोतर: उनहत्तर
अगण्याशी: उन्यासी
अगत्य: महत्वपूर्ण
अगत्यता: महत्व
अगम_चेती: सावधानी
अगम_वाणी: भविष्यवाणी
अगवड: असुविधा
अगाउ: पहले
अगाउथी: पहले_से
अगाउनी: विगत
अगासी: छत
अगियार: ग्यारह
अगियारमुं: ग्यारहवीं
अगियारस: एकादशी
अग्यारमो: ग्यारहवाँ
अघरुं: कठिन
अचंबो: आश्चर्य
अछत: कमी
अछतुं: रहस्य
अछोडो: सोने_या_चांदी_का_हार
अजंपो: बेचैनी
अजमाववुं: अजमाना
अजवाळवुं: धोना
अजवाळुं: प्रकाश
अजाण: अज्ञानी
अजाण्युं: अज्ञात
अजायबी: आश्चर्य
अजोड: अद्वितीय
अटकळ: अनुमान
अटकवुं: रोकना
अटपटुं: जटिल
अटले: इसलिए
अटवावुं: घूमना
अठवाडिए: सप्ताह
अठवाडिक: साप्ताहिक
अठवाडियुं: सप्ताह
अठ्ठाणुं: अट्ठानबे
अठ्ठावन: अट्ठावन
अठ्यासी: अट्ठासी
अठ्योतर: अठहत्तर
अडकवुं: स्पर्श_करना
अडखे_पडखे: साथ_साथ
अडग: अचल
अडचण: बाधा
अडतालीस: अड़तालीस
अडधुं: आधा
अडपलुं: शरारत
अडवुं: स्पर्श_करना
अडसठ: अड़सठ
अड्डो: अड्डा
अढळक: बहुतायत
अढार: अठारह
अढी: ढाई
अणगमो: नापसंद_करना
अणघड: अकुशल
अणधार्युं: अप्रत्याशित
अणमानीतुं: प्रतिकूल
अणि: नोंक
अतुट: अटूट
अत्तर: सुगंध
अत्यार_सुधीमां: अब_तक
अत्यारनां: आज_के
अत्यारे: इस_समय
अत्र: यहाँ
अथडावुं: टक्कर_मारना
अथाक: अथक
अथाणुं: अचार
अदावत: दुश्मनी
अदेखाइ: ईर्ष्याभाव
अदेखुं: ईर्षालु
अद्भूत: अद्भुत
अद्रश्य: अदृश्य
अधकचरुं: अधकचरा
अधम: औसश्रेणी_का
अधमूउं: अधमरा
अधवच: बीच_में
अधीरुं: अधीर
अध्धर: अधर
अनामत: अमानत
अनामतनी: अमानत_की
अनुकूळ: उपयुक्त
अनुक्रमे: अनुक्रम_में
अनुभववी: अनुभव_करना_चाहिए
अनुसरवुं: अनुसरण_करना
अनुस्नातक: स्नातकोत्तर
अने: और
अनेकगणी: अनेक_गुना
अपचो: अपच
अपजश: अपयश
अपनाववी: अपनानी
अपनावी: अपना_कर
अपनावे: अपनाए
अपूज: अपूज्य
अफवा: अफवाह
अबज: अरब
अबजोपति: अरबपति
अभण: अनपढ़
अभिप्रायनुं: अभिप्राय_का
अभ्यास: पढ़ाई
अमने: हमें
अमास: अमावस
अमे: हम
अरीसो: दर्पण
अर्थघटन: अर्थ_का_सार_निकालना
अर्वकालीन: शाश्वत
अलबत्त: निःसंदेह
अली: सखी
अलोप: अदृश्य
अळखामणुं: प्रतिकूल
अळगुं: अलग
अवदशा: दुर्भाग्य
अवनवुं: नई
अवयव: अंग
अवरजवर: आना_जाना
अवळाइ: अनुचित_व्यवहार
अवळुं: उलटफेर
अवाज: आवाज
अवारनवार: प्रायः
अवाळुं: मसूड़े
अशकत: कमजोर
अशुध्ध: अशुद्ध
अषाड: आषाढ़
असर: परिणाम
असरनुं: परिणाम_का
असरनो: परिणामका
असाहय: असहाय
अहीं: यहाँ
अहींनां: यहाँ_का
अहींयां: यहाँ
आ: यह
आ_ज: यहीं
आ_पछी: इसके_बाद
आ_रीते: इस_प्रकार
आंक: पहाड़ा
आंकडा: आंकड़े
आंकडाओ: आंकड़े
आंकडाओनी: आंकड़ों_की
आंकडाशास्त्र: सांख्यिकी
आंकडो: अंक
आंकवुं: आंकना
आंकी: आंक_कर
आंगणुं: आंगन
आंचकवुं: छीनना
आंचकी: हिचकी
आंचको: झटका
आंतरडुं: आंत
आंतरराष्ट्रिय: अंतरराष्ट्रीय
आंतरवुं: अवरोधित_करना
आंतरसंबंध: आंतर_संबंध
आंतरीक: आंतरिक
आंधण: अदहन
आंबो: आम
आईटमनी: आईटम_की
आखरना: आखर_का
आखरे: अंत_में
आखलो: बैल
आगबोट: स्टीमर
आगलुं: पिछला
आगळ: आगे
आगियो: खद्योत
आघुं: सुदूर
आचरकुचर: घरेलू_सामान
आछुं: मंद
आजकाल: आजकल
आजना: आज_के
आजीजी: विनम्र_अनुरोध
आजु_बाजु: आसपास
आजे: आज
आजे_पण: आज_भी
आटला: इतने
आटलुं: इतना
आटो: आटा
आठम: अष्टमी
आडत्रीस: अड़तीस
आडुं: आड़ा
आडोशपाडोश: अडोसपड़ोस
आणवुं: लाना
आणे: इसने
आथमणुं: पश्चिमी
आदाशीशी: अधकपारी
आदु: अदरक
आदुं: अदरक
आधारे: आधार_से
आधेड: अधेड़
आना: इसके
आना_पछी: इसके_बाद
आने: इसे
आपणने: हमें
आपणो: अपना
आपता: देते_हुए
आपता_आपता: देते_देते
आपतां: देकर
आपने: आपको
आपमेळे: स्वतः
आपले: विनिमय
आपवा: देने_के
आपवी: देनी
आपवुं: देना
आपे: आपने
आपेलां: दिया_हुआ
आपेली: दी_हुयी
आपेलुं: दिया_हुआ
आपो: दो
आफरो: अफरा
आबेहूब: सटीक
आभ: आकाश
आम: इस_तरह
आमणे: ये_लोग
आमतेम: यहाँ_वहाँ
आमथी: इस_तरफ_से
आमन्या: बड़ों_के_लिए_सम्मान
आमली: इमली
आयनो: दर्पण
आया: नौकरानी
आलवुं: देना
आळस: आलस्य
आळोटवुं: लोटना
आव: आओ
आवक: आय
आवकना: आय_के
आवकनी: आय_की
आवकवेरो: आय_कर
आवकार: स्वागत
आवको: आय_का_बहु_वचन
आवडत: कौशल
आवडुं: इतना_बड़ा
आवता: आगामी
आवता_अठवाडिये: अगले_सप्ताह
आवती_काले: कल
आवतुं: आने_वाले
आवतो: आता_है
आवरदा: जीवनकाल
आववाना: आने_वाले
आववुं: आना
आवशे: आयेगा
आवा: ऐसे
आवां: ऐसे
आवी: आयी
आवीश: आऊँगा
आवुं: इस_तरह_का
आवुं: ऐसा
आवेली: आयी_हुयी
आव्या: आए
आव्यां: आए
आव्युं: आया
आव्यो: आया
आशरे: लगभग
आशरो: आश्रय
आशाढ: आषाढ़
आशिर्वाद: आशीर्वाद
इच्छवुं: इच्छा_करना
इजजत: इज्जत
इजनेर: इंजीनियर
इजारो: एकाधिकार
इठ्ठोतेर: अठहत्तर
